issue_id,canonical_title,ingredient_a,ingredient_b,food_name,success_wisdom,source_title,needs_manual_title
Q17,,椰浆,汤圆,椰汁汤圆,同频不是找出来的，是慢慢熬出来的。别急，火候还没到。只要心是软的，总会遇到那盆愿意包裹你的纯白液体。,not_provided_in_md,true
Q18,,浓茶,咖啡豆,苦鸳鸯,既然不快乐，就别再互相折磨。这种苦到反胃的关系，除了让你失眠，什么都留不下。建议你直接把它推下桌子，听个响。,not_provided_in_md,true
Q19,,汤圆,芒果,芒果汤圆,过去确实甜，但那是回忆自带了滤镜。别让昨天的糖水粘住了你今天的爪子。如果你一直回头看，会撞到猫爬架的。,not_provided_in_md,true
Q20,,姜汁,芒果,姜芒撞奶,味道冲撞会让人流眼泪。哭完这碗，就把它倒掉，别总是去舔那个干涸的空碗。明天的猫罐头，说不定就是新的口味。,not_provided_in_md,true
Q21,,菠萝包底,黄油,黄金菠萝油,别嫌弃你的“油脂”。正是那些不完美的特质，才让你有了辨识度。如果菠萝包没有了黄油，那它只是个平淡无奇的面包团。,not_provided_in_md,true
Q22,,西米,椰浆,椰汁西米露,碎裂也是一种重组。给自己一个机会，跳进新的可能里。就像那些西米，原本碎裂透明，进了椰浆后却变得晶莹剔透。,not_provided_in_md,true
Q23,,粗面,牛腩,牛腩捞面,既然难嚼，那就长点刺，让自己硬气点。别人才不敢轻易把你吞进肚子里，还要怪你塞了他的牙缝。,not_provided_in_md,true
Q24,,柠檬片,芒果,柠香芒果,外部评价是酸的，内心渴望是甜的。别为了别人的评价苦了自己。哪怕全世界都觉得你是柠檬，你也要记得自己里面藏着芒果。,not_provided_in_md,true
Q25,,浓茶,黑白淡奶,丝袜奶茶,别在深夜做决定。深夜的茶色会让人变蠢。喝完去睡觉，太阳一出来，虚无感就会像我掉的猫毛一样，被风吹走。,not_provided_in_md,true
Q26,,粗面,鱼蛋,鱼蛋粉,生活本来就是没味道的。你的选择和经历，才是给它上色的那勺辣椒酱。只要你不加戏，这碗面其实安稳得很。,not_provided_in_md,true
Q27,,咖啡豆,柠檬片,柠啡,摄入了太多别人的人生切片。放下那个发光的板子，去感受食物的温度。别人吃海参还是啃树皮，真的不关你那五点五秒的注意力。,not_provided_in_md,true
Q28,,姜汁,汤圆,姜汁汤圆,未来还没发生，怕什么？先用姜汁暖暖胃，哪怕手抖，也要把这碗圆满吃下去。胃饱了，胆子自然就大了一些。,not_provided_in_md,true
Q29,,萝卜,肠粉,萝卜肠粉,空间虽窄，但味道可以很宽。在狭小的房间里，也要给自己点个香薰。如果你是一只猫，你会发现只要有纸箱，哪里都是宫殿。,not_provided_in_md,true
Q30,,柚子,芒果,杨枝甘露,既然出不去，就让味觉先去旅行。你看，这里有阳光，有热带，有微酸。等雨停了，我们一起去公园里躺平。,not_provided_in_md,true
Q31,,浓茶,黄油,茶走,时间不是省出来的，是抢出来的。哪怕只有五分钟，也要彻底放空。你要是学我每天睡十六个小时，你就会发现根本没有烦恼。,not_provided_in_md,true
Q32,,咖啡豆,浓茶,魔鬼特饮,熬夜换来的自由是带毒的。去睡觉，梦里的自由是不限量的。你要是实在想透支，我建议你先去透支一下邻居家的猫粮。,not_provided_in_md,true
Q33,,牛腩,萝卜,柱候牛腩,钱是高汤，欲望是牛腩。你需要的不是无尽的脂肪，而是消化的能力。钱攒多了不花，就像猫抓了老鼠只玩不吃，很浪费的。,not_provided_in_md,true
Q34,,芒果,汤圆,金玉满堂,幻想中奖的快感是真的，但买点心的钱也是真的。先填饱肚子再去梦。如果你梦到了金山，记得带我回去，我要买金色的罐头。,not_provided_in_md,true
Q35,倒霉透顶求转机,姜汁,萝卜,姜汁萝卜,跌到底了，剩下的路都是向上的。就像萝卜，埋得够深，才够入味。别急着冒头，在地下多吸点水分，以后才够脆。,direct_0421_v1,false
Q36,,浓茶,咖啡豆,苦尽甘来,苦到极致就是回甘。如果现在很难熬，说明你正在经历最重要的质变。这种苦，是通往猫薄荷森林的必经之路。,not_provided_in_md,true
Q37,,萝卜,柠檬片,柠香萝卜,恐惧源于对未知的掌控欲。从今天开始，多喝水，多走路，多摸猫。把那些复杂的思考丢进垃圾桶，那里才是它的归宿。,not_provided_in_md,true
Q38,,椰浆,汤圆,云朵椰奶汤圆,你已经撑了很久了，现在可以软弱一会儿。陷进沙发里，什么都别想。你不是拯救世界的超人，你只是一只偶尔需要抱抱的两脚兽。,not_provided_in_md,true
Q39,,鱼蛋,鱼蛋,双份鱼蛋,蠢点挺好的。不聪明的人才能在这个疯狂的城市里活得长久。你看这两颗鱼蛋，它们除了弹跳一无所知，所以它们很快乐。,not_provided_in_md,true
Q40,,柚子,芒果,柚子芒捞,哪怕只是为了买个芒果，出门吹吹风也是好的。你看，路边的流浪猫都在等你。虽然它不一定理你，但总比对着屏幕叹气强。,not_provided_in_md,true
