issue_id,ingredient_a,ingredient_b,ingredient_a_id,ingredient_b_id,food_name,half_success_type,hint_a_label,hint_a_text,hint_b_label,hint_b_text,source_doc,source_section,notes
Q12,牛腩,萝卜,beef-brisket,radish,萝卜牛腩,dual,只匹配牛腩,难嚼肉块对了，但最廉价吸油的萝卜呢？没有它，油脂无处安放。,只匹配萝卜,萝卜到位，可厚重牛腩还没来。没有肉，萝卜只是清汤。,0424.md,附录一：半成功提示,
Q13,萝卜,牛腩,radish,beef-brisket,炖萝卜牛腩,dual,只匹配萝卜,土里长的根茎对了，但浓郁高汤里的牛腩呢？归属需要互相熬煮。,只匹配牛腩,牛腩来了，可萝卜还没下锅。没有根茎，高汤缺了底味。,0424.md,附录一：半成功提示,
Q14,肠粉,萝卜,rice-roll,radish,斋肠萝卜糕,dual,只匹配肠粉,最单调的碳水有了，可苍白的根茎呢？空虚需要双倍苍白。,只匹配萝卜,苍白萝卜到场，但单调肠粉还没来。没有碳水，苍白不够厚。,0424.md,附录一：半成功提示,
Q15,浓茶,柠檬片,strong-tea,lemon-slice,咸柠七,dual,只匹配浓茶,清冷尖刻的液体对了，但酸涩的另一半还没加。真相从来不是单数。,只匹配柠檬片,酸涩柠檬片有了，可苦涩浓茶呢？没有茶底，酸得没灵魂。,0424.md,附录一：半成功提示,
Q16,柚子,西米,pomelo,sago,柚子西米露,dual,只匹配柚子,苦涩外皮剥开了，可里面那堆拼命聚在一起的透明珠子呢？孤独需要西米作伴。,只匹配西米,透明珠子有了，但苦涩柚子肉还没来。没有果粒，空有颗粒感。,0424.md,附录一：半成功提示,
Q17,椰浆,汤圆,coconut-milk,tangyuan,椰汁汤圆,dual,只匹配椰浆,一种醇厚白色对了，可另一种同样浓郁的汤圆呢？融合需要两方都到场。,只匹配汤圆,软糯汤圆到位，但白色椰浆还没倒。没有奶香，黏腻无解。,0424.md,附录一：半成功提示,
Q18,浓茶,咖啡豆,strong-tea,coffee-beans,苦鸳鸯,dual,只匹配浓茶,苦涩液体已在，可更苦涩的粉末呢？反胃就要双倍剂量。,只匹配咖啡豆,咖啡粉末有了，但浓茶的涩还没来。没有茶，苦得单一。,0424.md,附录一：半成功提示,
Q19,汤圆,芒果,tangyuan,mango,芒果汤圆,dual,只匹配汤圆,黏糊糊的拥抱有了，但熟透的金色回忆还没切块。甜到腐烂要成双。,只匹配芒果,金色芒果到位，可软糯汤圆呢？没有黏糊，甜得没依托。,0424.md,附录一：半成功提示,
Q20,姜汁,芒果,ginger-juice,mango,姜芒撞奶,dual,只匹配姜汁,让你眼眶发热的火辣对了，可远去的金色香气呢？哭完需要另一半调味。,只匹配芒果,金色香气有了，但火辣姜汁还没来。没有冲撞，眼泪流不出。,0424.md,附录一：半成功提示,
Q21,菠萝包底,黄油,pineapple-bun-base,butter,黄金菠萝油,dual,只匹配菠萝包底,面包底座对了，可那块会腻的黄色油脂呢？没有黄油，不完美的搭配缺一半。,只匹配黄油,油脂到位，但没了它就不行的面包呢？没有底座，油腻无处寄生。,0424.md,附录一：半成功提示,
Q22,西米,椰浆,sago,coconut-milk,椰汁西米露,dual,只匹配西米,碎裂的透明残片有了，可那片纯白海洋还没端来。重组需要跳进液体。,只匹配椰浆,纯白椰浆到场，但透明西米呢？没有碎片，海洋太安静。,0424.md,附录一：半成功提示,
Q23,粗面,牛腩,thick-noodles,beef-brisket,牛腩捞面,dual,只匹配粗面,承载的底座对了，但最沉重最难嚼的肉块呢？讨好需要负重来压。,只匹配牛腩,难嚼牛腩到位，可粗面还没下锅。没有面条，肉块无处落座。,0424.md,附录一：半成功提示,
Q24,柠檬片,芒果,lemon-slice,mango,柠香芒果,dual,只匹配柠檬片,外面极度的酸拿来了，可里面极度的甜还没剥开。壳与心要同时出现。,只匹配芒果,里面极度的甜有了，但外面极度的酸呢？没有酸壳，甜会腻。,0424.md,附录一：半成功提示,
Q25,浓茶,黑白淡奶,strong-tea,evaporated-milk,丝袜奶茶,dual,只匹配浓茶,深夜的茶色有了，可清晨的白色淡奶呢？天亮需要黑白相撞。,只匹配黑白淡奶,白色淡奶来了，但深夜的茶色还没倒。没有茶，奶只是昏睡。,0424.md,附录一：半成功提示,
Q26,粗面,鱼蛋,thick-noodles,fish-ball,鱼蛋粉,dual,只匹配粗面,毫无味道的碳水对了，可另一颗同样乏味的肉球呢？意义是你自己加戏。,只匹配鱼蛋,肉球到位，但平淡粗面还没来。没有碳水，肉球飘着没根。,0424.md,附录一：半成功提示,
Q27,咖啡豆,柠檬片,coffee-beans,lemon-slice,柠啡,dual,只匹配咖啡豆,极度的清醒（咖啡）对了，还差一点酸涩的视角（柠檬）。切断谎言需要两味。,只匹配柠檬片,酸涩视角有了，但清醒的苦味还没来。没有咖啡，酸得迷路。,0424.md,附录一：半成功提示,
Q28,姜汁,汤圆,ginger-juice,tangyuan,姜汁汤圆,dual,只匹配姜汁,辣得满头大汗的姜水有了，可那几颗软弱白嫩的心呢？未来需要保护对象。,只匹配汤圆,软弱白嫩的心到位，但火辣姜水还没熬。没有辣，保护无力。,0424.md,附录一：半成功提示,
Q29,萝卜,肠粉,radish,rice-roll,萝卜肠粉,dual,只匹配萝卜,一种苍白底层食材对了，可另一种同样廉价的肠粉呢？挤就挤一对。,只匹配肠粉,苍白肠粉到场，但土里长的萝卜还没来。没有根茎，苍白太单调。,0424.md,附录一：半成功提示,
Q30,柚子,芒果,pomelo,mango,杨枝甘露,dual,只匹配柚子,树上的阳光果酸拿来了，还差另一种热带香气。让味觉旅行要结伴。,只匹配芒果,金色芒果到位，但苦涩柚子呢？没有酸，甜得没层次。,0424.md,附录一：半成功提示,
Q31,浓茶,黄油,strong-tea,butter,茶走,dual,只匹配浓茶,刮油的涩味对了，但肥腻的时间块还没放。透支需要双主角。,只匹配黄油,肥腻黄油有了，可刮油的浓茶呢？没有茶，油腻无处消解。,0424.md,附录一：半成功提示,
Q32,咖啡豆,浓茶,coffee-beans,strong-tea,魔鬼特饮,dual,只匹配咖啡豆,一种透支的苦水对了，另一种更苦的茶叶呢？愚蠢交换要两败俱伤。,只匹配浓茶,苦涩茶叶到位，但咖啡粉末还没撒。没有咖啡，苦得不够猛。,0424.md,附录一：半成功提示,
Q33,牛腩,萝卜,beef-brisket,radish,柱候牛腩,dual,只匹配牛腩,厚重结实的脂肪对了，可难嚼的肉块呢？幻觉需要双倍分量。,只匹配萝卜,萝卜到位，但牛腩还没来。没有肉，萝卜吸不到油脂。,0424.md,附录一：半成功提示,
Q34,芒果,汤圆,mango,tangyuan,金玉满堂,dual,只匹配芒果,金色的美梦有了，但软糯的幻想底座呢？暴富需要金垫子。,只匹配汤圆,软糯幻想到位，可金色芒果还没切。没有金，梦不够亮。,0424.md,附录一：半成功提示,
Q35,姜汁,萝卜,ginger-juice,radish,姜汁萝卜,dual,只匹配姜汁,土里长的辣味对了，可另一种土里长的苍白呢？转机埋在地下，得挖一双。,只匹配萝卜,苍白萝卜到位，但火辣姜汁还没来。没有辣，萝卜只是水。,0424.md,附录一：半成功提示,
Q36,浓茶,咖啡豆,strong-tea,coffee-beans,苦尽甘来,dual,只匹配浓茶,苦味之一对了，还差另一种涩味。熬到回甘需要双苦联手。,只匹配咖啡豆,咖啡苦味有了，但浓茶的涩还没来。没有双苦，甘不会来。,0424.md,附录一：半成功提示,
Q37,萝卜,柠檬片,radish,lemon-slice,柠香萝卜,dual,只匹配萝卜,老实的根茎对了，但清冷的酸味还没切。清理系统需要两样扫帚。,只匹配柠檬片,清冷酸味有了，可老实萝卜呢？没有根茎，酸得没目标。,0424.md,附录一：半成功提示,
Q38,椰浆,汤圆,coconut-milk,tangyuan,云朵椰奶汤圆,dual,只匹配椰浆,云朵一样柔软的奶脂对了，可温润的汤圆呢？软弱需要双倍拥抱。,只匹配汤圆,温润汤圆到位，但云朵椰浆还没倒。没有奶，黏腻缺润滑。,0424.md,附录一：半成功提示,
Q39,鱼蛋,鱼蛋,fish-ball,fish-ball,双份鱼蛋,shared,只匹配一个鱼蛋,一颗没脑子的圆形肉球对了，可另一颗同样的呢？愚蠢要双份才够味。,shared,一颗没脑子的圆形肉球对了，可另一颗同样的呢？愚蠢要双份才够味。,0424.md,附录一：半成功提示,Q39 repeated ingredient; use shared hint
Q40,柚子,芒果,pomelo,mango,柚子芒捞,dual,只匹配柚子,苦涩的皮剥开了，可金色的惊喜还没挖出来。出门的理由必须成对。,只匹配芒果,金色惊喜有了，但苦涩柚子呢？没有酸，出门像梦游。,0424.md,附录一：半成功提示,
