issue_id,internal_id_visible_to_player,canonical_title,title_source,canonical_riddle,riddle_source,ingredient_a,ingredient_b,ingredient_a_id,ingredient_b_id,food_name,shop_id_if_same_shop,shop_name_if_same_shop,recipe_spans_multiple_shops,ingredient_a_shop_id,ingredient_b_shop_id,success_wisdom_available,half_success_hints_available,is_v1_seed,needs_manual_title,needs_manual_riddle,taxonomy_source,level1_category,level2_category,notes
Q30,false,,not_provided_in_md,,not_provided_in_md,柚子,芒果,pomelo,mango,杨枝甘露,dessert-station,失眠甜品站,false,dessert-station,dessert-station,true,true,false,true,true,not_provided_in_md_except_Q01_example,,,Title/riddle not explicitly provided in 0421/0424 md; keep blank for manual review.
Q31,false,,not_provided_in_md,,not_provided_in_md,浓茶,黄油,strong-tea,butter,茶走,ice-room,零点冰室,false,ice-room,ice-room,true,true,false,true,true,not_provided_in_md_except_Q01_example,,,Title/riddle not explicitly provided in 0421/0424 md; keep blank for manual review.
Q32,false,,not_provided_in_md,,not_provided_in_md,咖啡豆,浓茶,coffee-beans,strong-tea,魔鬼特饮,ice-room,零点冰室,false,ice-room,ice-room,true,true,false,true,true,not_provided_in_md_except_Q01_example,,,Title/riddle not explicitly provided in 0421/0424 md; keep blank for manual review.
Q33,false,,not_provided_in_md,,not_provided_in_md,牛腩,萝卜,beef-brisket,radish,柱候牛腩,street-stall,霓虹大排档,false,street-stall,street-stall,true,true,false,true,true,not_provided_in_md_except_Q01_example,,,Title/riddle not explicitly provided in 0421/0424 md; keep blank for manual review.
Q34,false,,not_provided_in_md,,not_provided_in_md,芒果,汤圆,mango,tangyuan,金玉满堂,dessert-station,失眠甜品站,false,dessert-station,dessert-station,true,true,false,true,true,not_provided_in_md_except_Q01_example,,,Title/riddle not explicitly provided in 0421/0424 md; keep blank for manual review.
Q35,false,倒霉透顶求转机,direct_0421_v1,一种从土里长出来的辣，撞上土里的白。转机在地下。,direct_0421_v1,姜汁,萝卜,ginger-juice,radish,姜汁萝卜,,,true,dessert-station,street-stall,true,true,true,false,false,not_provided_in_md_except_Q01_example,,,V1 direct title/riddle mapped by matching recipe+food
Q36,false,,not_provided_in_md,,not_provided_in_md,浓茶,咖啡豆,strong-tea,coffee-beans,苦尽甘来,ice-room,零点冰室,false,ice-room,ice-room,true,true,false,true,true,not_provided_in_md_except_Q01_example,,,Title/riddle not explicitly provided in 0421/0424 md; keep blank for manual review.
Q37,false,,not_provided_in_md,,not_provided_in_md,萝卜,柠檬片,radish,lemon-slice,柠香萝卜,,,true,street-stall,ice-room,true,true,false,true,true,not_provided_in_md_except_Q01_example,,,Title/riddle not explicitly provided in 0421/0424 md; keep blank for manual review.
Q38,false,,not_provided_in_md,,not_provided_in_md,椰浆,汤圆,coconut-milk,tangyuan,云朵椰奶汤圆,dessert-station,失眠甜品站,false,dessert-station,dessert-station,true,true,false,true,true,not_provided_in_md_except_Q01_example,,,Title/riddle not explicitly provided in 0421/0424 md; keep blank for manual review.
Q39,false,,not_provided_in_md,,not_provided_in_md,鱼蛋,鱼蛋,fish-ball,fish-ball,双份鱼蛋,street-stall,霓虹大排档,false,street-stall,street-stall,true,true,false,true,true,not_provided_in_md_except_Q01_example,,,Title/riddle not explicitly provided in 0421/0424 md; keep blank for manual review.
Q40,false,,not_provided_in_md,,not_provided_in_md,柚子,芒果,pomelo,mango,柚子芒捞,dessert-station,失眠甜品站,false,dessert-station,dessert-station,true,true,false,true,true,not_provided_in_md_except_Q01_example,,,Title/riddle not explicitly provided in 0421/0424 md; keep blank for manual review.
